LookupID,Geo Place Name,Year,Borough
1,Southeast Queens,2015,Queens
2,Bensonhurst - Bay Ridge,2015,Brooklyn
3,Bensonhurst - Bay Ridge,2012,Brooklyn
4,Southeast Queens,2012,Queens
5,Southeast Queens,2022,Queens
6,Bensonhurst - Bay Ridge,2012,Brooklyn
7,Bensonhurst - Bay Ridge,2013,Brooklyn
8,Southeast Queens,2013,Queens
9,Southeast Queens,2012,Queens
10,Rockaways,2021,Queens
11,Bensonhurst - Bay Ridge,2013,Brooklyn
12,Coney Island - Sheepshead Bay,2013,Brooklyn
13,Southeast Queens,2017,Queens
14,Coney Island - Sheepshead Bay,2017,Brooklyn
15,Bensonhurst - Bay Ridge,2009,Brooklyn
16,Bensonhurst - Bay Ridge,2017,Brooklyn
17,Coney Island - Sheepshead Bay,2013,Brooklyn
18,Bensonhurst - Bay Ridge,2013,Brooklyn
19,Rockaways,2013,Queens
20,Rockaways,2016,Queens
21,Southeast Queens,2011,Queens
22,Rockaways,2012,Queens
23,Bensonhurst - Bay Ridge,2016,Brooklyn
24,Rockaways,2013,Queens
25,Rockaways,2016,Queens
26,Southeast Queens,2021,Queens
27,Bensonhurst - Bay Ridge,2013,Brooklyn
28,Bensonhurst - Bay Ridge,2017,Brooklyn
29,Southeast Queens,2010,Queens
30,Southeast Queens,2009,Queens
31,Rockaways,2017,Queens
32,Rockaways,2021,Queens
33,Rockaways,2009,Queens
34,Rockaways,2014,Queens
35,Williamsburg - Bushwick,2012,Brooklyn
36,Williamsburg - Bushwick,2012,Brooklyn
37,Williamsburg - Bushwick,2013,Brooklyn
38,Bayside - Little Neck,2014,Queens
39,Pelham - Throgs Neck,2009,Bronx
40,Williamsburg - Bushwick,2021,Brooklyn
41,Bayside - Little Neck,2021,Queens
42,Upper West Side,2013,Manhattan
43,Upper West Side,2010,Manhattan
44,Bayside - Little Neck,2015,Queens
45,Pelham - Throgs Neck,2011,Bronx
46,Williamsburg - Bushwick,2021,Brooklyn
47,Upper West Side,2012,Manhattan
48,Upper West Side,2016,Manhattan
49,Upper West Side,2013,Manhattan
50,East New York,2018,Brooklyn
51,East New York,2021,Brooklyn
52,East New York,2012,Brooklyn
53,Upper West Side,2010,Manhattan
54,Upper West Side,2013,Manhattan
55,Bayside - Little Neck,2010,Queens
56,Williamsburg - Bushwick,2009,Brooklyn
57,Bayside - Little Neck,2017,Queens
58,Williamsburg - Bushwick,2021,Brooklyn
59,Upper West Side,2017,Manhattan
60,Upper West Side,2012,Manhattan
61,East New York,2016,Brooklyn
62,Williamsburg - Bushwick,2021,Brooklyn
63,Pelham - Throgs Neck,2012,Bronx
64,Pelham - Throgs Neck,2013,Bronx
65,East New York,2021,Brooklyn
66,Pelham - Throgs Neck,2021,Bronx
67,Pelham - Throgs Neck,2021,Bronx
68,Southeast Queens,2014,Queens
69,Canarsie - Flatlands,2021,Brooklyn
70,Canarsie - Flatlands,2017,Brooklyn
71,Jamaica,2021,Queens
72,Gramercy Park - Murray Hill,2017,Manhattan
73,Gramercy Park - Murray Hill,2021,Manhattan
74,Hunts Point - Mott Haven,2018,Bronx
75,Gramercy Park - Murray Hill,2018,Manhattan
76,Southwest Queens,2018,Queens
77,Greenwich Village - SoHo,2013,Manhattan
78,Canarsie - Flatlands,2017,Brooklyn
79,Gramercy Park - Murray Hill,2017,Manhattan
80,Jamaica,2013,Queens
81,Greenwich Village - SoHo,2009,Manhattan
82,Greenwich Village - SoHo,2014,Manhattan
83,Greenwich Village - SoHo,2017,Manhattan
84,Southwest Queens,2009,Queens
85,Greenwich Village - SoHo,2021,Manhattan
86,Brooklyn,2012,Brooklyn
87,Brooklyn,2013,Brooklyn
88,Brooklyn,2016,Brooklyn
89,Canarsie - Flatlands,2021,Brooklyn
90,Downtown - Heights - Slope,2014,Brooklyn
91,Downtown - Heights - Slope,2017,Brooklyn
92,Washington Heights,2013,Manhattan
93,Washington Heights,2009,Manhattan
94,Washington Heights,2017,Manhattan
95,Northeast Bronx,2010,Bronx
96,Gramercy Park - Murray Hill,2014,Manhattan
97,Jamaica,2022,Queens
98,Gramercy Park - Murray Hill,2016,Manhattan
99,Jamaica,2012,Queens
100,Greenwich Village - SoHo,2021,Manhattan
101,Greenwich Village - SoHo,2021,Manhattan
102,Washington Heights,2013,Manhattan
103,Greenpoint,2017,Brooklyn
104,Greenpoint,2013,Brooklyn
105,Greenpoint,2021,Brooklyn
106,Greenpoint,2017,Brooklyn
107,Washington Heights,2017,Manhattan
108,Long Island City - Astoria,2010,Queens
109,Greenpoint,2022,Brooklyn
110,Washington Heights,2022,Manhattan
111,Washington Heights,2021,Manhattan
112,Port Richmond,2016,Staten Island
113,Kingsbridge - Riverdale,2018,Bronx
114,Bensonhurst - Bay Ridge,2014,Brooklyn
115,Williamsburg - Bushwick,2014,Brooklyn
116,Williamsburg - Bushwick,2017,Brooklyn
117,Williamsburg - Bushwick,2013,Brooklyn
118,Greenpoint,2021,Brooklyn
119,Washington Heights,2016,Manhattan
120,Washington Heights,2021,Manhattan
121,Greenpoint,2013,Brooklyn
122,Greenpoint,2010,Brooklyn
123,Greenpoint,2014,Brooklyn
124,Throgs Neck and Co-op City (CD10),2017,Bronx
125,Throgs Neck and Co-op City (CD10),2021,Bronx
126,Throgs Neck and Co-op City (CD10),2010,Bronx
127,Williamsbridge and Baychester (CD12),2009,Bronx
128,Throgs Neck and Co-op City (CD10),2021,Bronx
129,Jamaica and Hollis (CD12),2021,Queens
130,South Ozone Park and Howard Beach (CD10),2016,Queens
131,Throgs Neck and Co-op City (CD10),2018,Bronx
132,South Ozone Park and Howard Beach (CD10),2021,Queens
133,Jamaica and Hollis (CD12),2012,Queens
134,Jamaica and Hollis (CD12),2013,Queens
135,Williamsburg - Bushwick,2009,Brooklyn
136,East New York,2022,Brooklyn
137,Upper West Side,2016,Manhattan
138,Upper West Side,2018,Manhattan
139,Upper West Side,2021,Manhattan
140,Pelham - Throgs Neck,2016,Bronx
141,Williamsburg - Bushwick,2018,Brooklyn
142,Upper West Side,2021,Manhattan
143,Pelham - Throgs Neck,2021,Bronx
144,Williamsburg - Bushwick,2014,Brooklyn
145,Williamsburg - Bushwick,2015,Brooklyn
146,Pelham - Throgs Neck,2009,Bronx
147,Pelham - Throgs Neck,2011,Bronx
148,Kingsbridge Heights and Bedford (CD7),2013,Bronx
149,Sunset Park (CD7),2013,Brooklyn
150,Kingsbridge Heights and Bedford (CD7),2012,Bronx
151,Kingsbridge Heights and Bedford (CD7),2013,Bronx
152,Kingsbridge Heights and Bedford (CD7),2018,Bronx
153,Kingsbridge Heights and Bedford (CD7),2021,Bronx
154,Kingsbridge Heights and Bedford (CD7),2021,Bronx
155,Rockaway and Broad Channel (CD14),2012,Queens
156,Rockaway and Broad Channel (CD14),2013,Queens
157,Sunset Park (CD7),2021,Brooklyn
158,Upper West Side (CD7),2013,Manhattan
159,Upper West Side (CD7),2012,Manhattan
160,Flushing and Whitestone (CD7),2021,Queens
161,Flushing and Whitestone (CD7),2021,Queens
162,Rockaway and Broad Channel (CD14),2009,Queens
163,Rockaway and Broad Channel (CD14),2013,Queens
164,Rockaway and Broad Channel (CD14),2010,Queens
165,Upper West Side (CD7),2009,Manhattan
166,Southwest Queens,2013,Queens
167,Southwest Queens,2018,Queens
168,Bushwick (CD4),2014,Brooklyn
169,Bushwick (CD4),2018,Brooklyn
170,Bushwick (CD4),2021,Brooklyn
171,Bedford Stuyvesant (CD3),2021,Brooklyn
172,Bedford Stuyvesant (CD3),2016,Brooklyn
173,Jackson Heights (CD3),2017,Queens
174,Bedford Stuyvesant (CD3),2021,Brooklyn
175,Brooklyn,2017,Brooklyn
176,East Flatbush - Flatbush,2009,Brooklyn
177,Canarsie - Flatlands,2015,Brooklyn
178,Jamaica,2010,Queens
179,Jamaica,2016,Queens
180,Gramercy Park - Murray Hill,2020,Manhattan
181,Canarsie - Flatlands,2020,Brooklyn
182,East Flatbush - Flatbush,2010,Brooklyn
183,Gramercy Park - Murray Hill,2021,Manhattan
184,Jamaica,2009,Queens
185,Bushwick (CD4),2019,Brooklyn
186,Elmhurst and Corona (CD4),2012,Queens
187,Bushwick (CD4),2015,Brooklyn
188,Canarsie - Flatlands,2009,Brooklyn
189,Southwest Queens,2009,Queens
190,East Flatbush - Flatbush,2009,Brooklyn
191,Jamaica,2015,Queens
192,Southwest Queens,2015,Queens
193,Highbridge and Concourse (CD4),2010,Bronx
194,Highbridge and Concourse (CD4),2013,Bronx
195,Lower East Side and Chinatown (CD3),2017,Manhattan
196,Lower East Side and Chinatown (CD3),2021,Manhattan
197,Morrisania and Crotona (CD3),2017,Bronx
198,Jamaica and Hollis (CD12),2018,Queens
